nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,1782.74 
1,60,mlkem512,rsa:3072,2296.99 
1,60,P-256,mldsa44,1459.32 
1,60,P-256,rsa:3072,1718.36 
3,60,mlkem768,mldsa65,1263.92 
3,60,mlkem768,rsa:7680,1332.09 
3,60,P-384,mldsa65,363.59 
3,60,P-384,rsa:7680,410.36 
5,60,mlkem1024,mldsa87,1030.03 
5,60,mlkem1024,rsa:15360,662.96 
5,60,P-521,mldsa87,186.34 
5,60,P-521,rsa:15360,168.54 
