nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,1800.44 
1,60,mlkem512,rsa:3072,2286.75 
1,60,P-256,mldsa44,1456.05 
1,60,P-256,rsa:3072,1776.80 
3,60,mlkem768,mldsa65,1275.70 
3,60,mlkem768,rsa:7680,1266.43 
3,60,P-384,mldsa65,375.01 
3,60,P-384,rsa:7680,402.94 
5,60,mlkem1024,mldsa87,1033.02 
5,60,mlkem1024,rsa:15360,666.07 
5,60,P-521,mldsa87,191.55 
5,60,P-521,rsa:15360,174.11 
