test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,ML-KEM-512,35994.2,57026.0,36679.6
60,ML-KEM-768,23413.9,43368.1,27650.8
60,ML-KEM-1024,15052.9,32341.8,21044.1
