nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,640.54 
1,60,mlkem512,rsa:3072,1029.65 
1,60,P-256,mldsa44,830.23 
1,60,P-256,rsa:3072,1168.24 
3,60,mlkem768,mldsa65,563.43 
3,60,mlkem768,rsa:7680,660.84 
3,60,P-384,mldsa65,566.34 
3,60,P-384,rsa:7680,633.33 
5,60,mlkem1024,mldsa87,556.38 
5,60,mlkem1024,rsa:15360,426.74 
5,60,P-521,mldsa87,574.22 
5,60,P-521,rsa:15360,423.46 
