test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,mlkem512,60647.8,74865.5,84415.8
60,mlkem768,40069.3,53296.1,59282.3
60,mlkem1024,27672.0,38032.5,41487.0
