test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,ML-KEM-512,35511.8,56801.9,36608.7
60,ML-KEM-768,23090.8,43256.9,27586.3
60,ML-KEM-1024,15014.6,32183.8,20985.7
