test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,mlkem512,59933.7,74412.6,83567.2
60,mlkem768,39627.2,52683.7,58419.5
60,mlkem1024,27329.7,37161.6,41209.2
