test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,mlkem512,60227.8,74474.1,84343.3
60,mlkem768,39752.1,52953.7,59232.2
60,mlkem1024,27477.2,37749.2,41295.8
