test_time,kem-algorithm,keygens/s,encaps/s,decaps/s
60,mlkem512,59737.3,74289.7,83835.6
60,mlkem768,39554.2,53318.4,59092.5
60,mlkem1024,27280.0,37877.5,41523.2
