nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,707.73 
1,60,mlkem512,rsa:3072,978.65 
1,60,P-256,mldsa44,799.54 
1,60,P-256,rsa:3072,1138.97 
3,60,mlkem768,mldsa65,546.29 
3,60,mlkem768,rsa:7680,616.36 
3,60,P-384,mldsa65,549.34 
3,60,P-384,rsa:7680,599.16 
5,60,mlkem1024,mldsa87,541.51 
5,60,mlkem1024,rsa:15360,413.41 
5,60,P-521,mldsa87,547.57 
5,60,P-521,rsa:15360,388.51 
