nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,736.45 
1,60,mlkem512,rsa:3072,1009.10 
1,60,P-256,mldsa44,846.03 
1,60,P-256,rsa:3072,1189.56 
3,60,mlkem768,mldsa65,561.66 
3,60,mlkem768,rsa:7680,648.29 
3,60,P-384,mldsa65,573.09 
3,60,P-384,rsa:7680,654.41 
5,60,mlkem1024,mldsa87,561.75 
5,60,mlkem1024,rsa:15360,445.68 
5,60,P-521,mldsa87,560.70 
5,60,P-521,rsa:15360,426.51 
