nist_level,test_time,KEM,SIG,connections/s
1,60,mlkem512,mldsa44,2110.95 
1,60,mlkem512,rsa:3072,2271.13 
1,60,P-256,mldsa44,1717.79 
1,60,P-256,rsa:3072,1760.87 
3,60,mlkem768,mldsa65,1608.59 
3,60,mlkem768,rsa:7680,1309.49 
3,60,P-384,mldsa65,828.03 
3,60,P-384,rsa:7680,800.91 
5,60,mlkem1024,mldsa87,1395.21 
5,60,mlkem1024,rsa:15360,663.16 
5,60,P-521,mldsa87,805.22 
5,60,P-521,rsa:15360,495.83 
